LGA_CODE,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021
51120,Bruce Rock,979,6,958,6,989,6,952,6
51190,Bunbury,944,3,921,3,951,3,907,3
51260,Busselton,1019,8,985,8,1038,9,958,7
51310,Cambridge,1113,10,1153,10,1107,10,1160,10
51330,Canning,1023,8,1024,9,1011,8,1033,9
51400,Capel,1016,8,982,8,1051,10,948,6
51470,Carnamah,965,5,937,4,958,3,924,4
51540,Carnarvon,926,2,918,3,913,2,908,3
51610,Chapman Valley,1027,9,999,8,1057,10,959,7
51680,Chittering,1030,9,1003,8,1100,10,947,6
51710,Christmas Island,971,5,972,7,943,2,957,7
51750,Claremont,1081,10,1124,10,1043,10,1157,10
51820,Cockburn,1033,9,1020,9,1042,10,1002,8
51860,Cocos Islands,850,1,903,2,980,5,896,2
51890,Collie,908,2,872,1,958,3,824,1
51960,Coolgardie,897,2,874,1,923,2,829,1
52030,Coorow,978,5,940,4,1001,7,916,3
52100,Corrigin,1023,8,982,8,1025,9,971,7
52170,Cottesloe,1112,10,1157,10,1086,10,1175,10
52240,Cranbrook,964,4,951,5,987,6,965,7
52310,Cuballing,972,5,946,5,1002,7,923,4
52380,Cue,898,2,887,2,895,2,920,4
52450,Cunderdin,1008,8,964,6,990,6,939,5
52520,Dalwallinu,1056,10,1024,9,1039,9,1011,9
52590,Dandaragan,995,7,961,6,1014,8,925,4
52660,Dardanup,1006,8,961,6,1040,9,906,3
52730,Denmark,1003,7,981,7,1003,7,1014,9
52800,Derby-West Kimberley,734,1,818,1,731,1,899,2
52870,Donnybrook-Balingup,987,6,961,6,1025,9,934,5
52940,Dowerin,983,6,970,7,977,5,992,8
53010,Dumbleyung,1009,8,989,8,1014,8,1007,9
53080,Dundas,855,1,851,1,872,1,850,1
53150,East Fremantle,1082,10,1109,10,1066,10,1123,10
53220,East Pilbara,939,3,946,5,893,2,929,5
53290,Esperance,995,7,960,6,1002,7,926,4
53360,Exmouth,1038,9,1002,8,997,7,946,6
53430,Fremantle,1031,9,1054,9,991,7,1093,10
53570,Gingin,975,5,947,5,1018,8,910,3
53640,Gnowangerup,996,7,973,7,1004,8,974,7
53710,Goomalling,998,7,959,6,997,7,940,5
53780,Gosnells,975,5,962,6,1010,8,944,6
53800,Greater Geraldton,965,5,941,4,984,6,917,4
53920,Halls Creek,540,1,702,1,572,1,836,1
53990,Harvey,998,7,960,6,1042,10,907,3
54060,Irwin,966,5,931,4,984,6,898,2
54130,Jerramungup,1025,8,996,8,1020,9,995,8
54170,Joondalup,1072,10,1061,9,1085,10,1038,9
54200,Kalamunda,1034,9,1009,9,1053,10,977,8
54280,Kalgoorlie-Boulder,1008,8,980,7,1010,8,920,4
54310,Karratha,1052,10,1035,9,1019,9,956,6
54340,Katanning,907,2,898,2,943,3,876,1
54410,Kellerberrin,920,2,899,2,941,2,900,2
54480,Kent,1072,10,1034,9,1041,10,1019,9
54550,Kojonup,997,7,979,7,999,7,983,8
54620,Kondinin,978,5,959,6,993,7,958,7
54690,Koorda,980,6,946,5,983,6,901,3
54760,Kulin,1045,9,1024,9,1047,10,1023,9
54830,Kwinana,971,5,949,5,1003,7,925,4
54900,Lake Grace,1051,9,1022,9,1040,9,1013,9
54970,Laverton,751,1,813,1,738,1,904,3
55040,Leonora,948,3,924,3,922,2,879,1
55110,Mandurah,959,4,936,4,998,7,912,3
55180,Manjimup,959,4,928,4,982,5,908,3
55250,Meekatharra,848,1,871,1,831,1,896,2
55320,Melville,1070,10,1081,10,1058,10,1086,10
55390,Menzies,860,1,858,1,825,1,870,1
55460,Merredin,971,5,937,4,971,4,914,3
55530,Mingenew,1007,8,970,7,1028,9,943,6
55600,Moora,959,4,935,4,975,5,918,4
55670,Morawa,943,3,929,4,945,3,932,5
55740,Mosman Park,1061,10,1107,10,1047,10,1135,10
55810,Mount Magnet,864,1,858,1,890,2,898,2
55880,Mount Marshall,980,6,973,7,986,6,990,8
55950,Mukinbudin,1025,8,996,8,1023,9,990,8
56090,Mundaring,1042,9,1020,9,1072,10,992,8
56160,Murchison,834,1,885,2,832,1,1013,9
56230,Murray,962,4,931,4,1026,9,884,2
56300,Nannup,978,5,955,6,988,6,952,6
56370,Narembeen,1028,9,997,8,1035,9,969,7
56460,Narrogin,964,4,942,5,955,3,927,4
56580,Nedlands,1115,10,1159,10,1108,10,1176,10
56620,Ngaanyatjarraku,509,1,717,1,541,1,885,2
56730,Northam,938,3,914,3,974,5,892,2
56790,Northampton,954,4,923,3,983,6,892,2
56860,Nungarin,979,6,960,6,979,5,961,7
56930,Peppermint Grove,1111,10,1161,10,1120,10,1161,10
57000,Perenjori,1044,9,1023,9,1023,9,1031,9
57080,Perth,1040,9,1081,10,901,2,1128,10
57140,Pingelly,907,2,900,2,931,2,917,4
57210,Plantagenet,949,3,929,4,989,6,935,5
57280,Port Hedland,1011,8,997,8,972,5,933,5
57350,Quairading,964,4,941,4,981,5,939,5
57420,Ravensthorpe,1002,7,970,7,983,6,949,6
57490,Rockingham,989,6,962,6,1025,9,929,4
57630,Sandstone,954,4,906,2,960,3,870,1
57700,Serpentine-Jarrahdale,1028,9,995,8,1090,10,935,5
57770,Shark Bay,970,5,942,5,935,2,915,3
57840,South Perth,1066,10,1086,10,1015,8,1114,10
57910,Stirling,1027,9,1035,9,1005,8,1048,9
57980,Subiaco,1079,10,1119,10,1009,8,1167,10
58050,Swan,995,7,974,7,1033,9,944,6
58190,Tammin,959,4,942,5,974,5,948,6
58260,Three Springs,963,4,947,5,964,4,955,6
58330,Toodyay,986,6,952,5,1018,8,931,5
58400,Trayning,909,2,896,2,920,2,952,6
58470,Upper Gascoyne,910,2,920,3,805,1,960,7
58510,Victoria Park,1030,9,1042,9,965,4,1071,9
58540,Victoria Plains,1028,9,1004,8,1031,9,978,8
58570,Vincent,1068,10,1097,10,1000,7,1126,10
58610,Wagin,947,3,921,3,970,4,906,3
58680,Wandering,1004,7,982,8,1038,9,962,7
58760,Wanneroo,1005,8,988,8,1048,10,961,7
58820,Waroona,936,3,908,2,999,7,860,1
58890,West Arthur,1028,9,1007,8,1017,8,1008,9
59030,Westonia,1030,9,1004,8,984,6,997,8
59100,Wickepin,994,7,967,7,1009,8,959,7
59170,Williams,1030,9,1008,9,1039,9,1006,9
59250,Wiluna,773,1,821,1,741,1,954,6
59310,Wongan-Ballidu,963,4,936,4,971,4,936,5
59320,Woodanilling,1003,7,982,8,994,7,1015,9
59330,Wyalkatchem,899,2,898,2,902,2,942,5
59340,Wyndham-East Kimberley,899,2,934,4,860,1,965,7
59350,Yalgoo,900,2,870,1,870,1,853,1
59360,Yilgarn,973,5,955,6,965,4,916,4
59370,York,968,5,938,4,980,5,934,5
60210,Break O'Day,911,2,881,2,930,2,896,2
