LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
11250,New South Wales,1017,1039,2056,11.682481959202228,2041,15,0.7349338559529642,1010,49.12451361867704,1005,5,0.4975124378109453
11300,New South Wales,1420,1645,3065,7.0700313711016785,3291,-226,-6.867213612883622,1615,52.69168026101142,1662,-47,-2.8279181708784598
11350,New South Wales,2112,2097,4209,11.051014781946595,4015,194,4.831880448318804,2104,49.98812069375148,1984,120,6.048387096774194
11400,New South Wales,893,1076,1969,14.148164115829562,2069,-100,-4.833252779120348,927,47.07973590655155,1025,-98,-9.560975609756097
11450,New South Wales,12179,10659,22838,16.167579889280606,16389,6449,39.34956373177131,11222,49.13740257465628,8060,3162,39.23076923076923
11500,New South Wales,14192,13298,27490,14.580073722453527,24622,2868,11.648119567866136,13402,48.752273554019645,12001,1401,11.674027164402967
11520,New South Wales,4293,4640,8933,9.67225007308596,9655,-722,-7.477990678404972,4447,49.78170827269674,4793,-346,-7.218860838723137
11570,New South Wales,24306,24096,48402,12.550595739715547,49567,-1165,-2.350354066213408,23404,48.35337382752779,23872,-468,-1.9604557640750668
11600,New South Wales,197,171,368,13.275613275613276,369,-1,-0.27100271002710025,197,53.53260869565217,175,22,12.571428571428573
11650,New South Wales,21150,21746,42896,12.071342942530547,43411,-515,-1.1863352606482227,20679,48.20729205520328,21062,-383,-1.8184407938467384
11700,New South Wales,91,133,224,12.612612612612612,218,6,2.7522935779816518,99,44.19642857142857,104,-5,-4.807692307692308
11720,New South Wales,4732,4440,9172,13.210047240465492,8286,886,10.692734733285059,4386,47.81945050152638,4034,352,8.72583044124938
11730,New South Wales,3008,3259,6267,11.148071723352782,6148,119,1.9355888093689007,3039,48.492101483963616,2953,86,2.9122925838130715
11750,New South Wales,268,290,558,13.897882938978828,581,-23,-3.9586919104991396,283,50.7168458781362,302,-19,-6.291390728476822
