LGA_CODE,LGA_NAME,STATE,TOTAL_POP_2020,TOTAL_POP_2024,TOTAL_POP_2025,POP_CHANGE_1Y,POP_GROWTH_1Y_PCT,POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,IS_UNINCORPORATED,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021,AGE_DATA_AVAILABLE,SEIFA_DATA_AVAILABLE,CULTURAL_DATA_AVAILABLE,CRICKET_SUPPLY_DATA_AVAILABLE
11250,Broken Hill,New South Wales,17718,17599,17515,-84,-0.47729984658219216,-203,-1.1457275087481658,0,1017,1039,2056,11.682481959202228,2041,15,0.7349338559529642,1010,49.12451361867704,1005,5,0.4975124378109453,Broken Hill,913,2,892,2,919,2,887,2,1,1,0,0
11300,Burwood,New South Wales,40670,43352,43927,575,1.3263517254105923,3257,8.008359970494222,0,1420,1645,3065,7.0700313711016785,3291,-226,-6.867213612883622,1615,52.69168026101142,1662,-47,-2.8279181708784598,Burwood,977,5,1050,9,926,2,1082,10,1,1,0,0
11350,Byron,New South Wales,35715,38087,38784,697,1.8300207419854542,3069,8.593028139437212,0,2112,2097,4209,11.051014781946595,4015,194,4.831880448318804,2104,49.98812069375148,1984,120,6.048387096774194,Byron,1021,8,1027,9,1009,8,1052,9,1,1,0,0
11400,Cabonne,New South Wales,13814,13917,13915,-2,-0.014370913271538407,101,0.7311423193861301,0,893,1076,1969,14.148164115829562,2069,-100,-4.833252779120348,927,47.07973590655155,1025,-98,-9.560975609756097,Cabonne,1023,8,995,8,1044,10,975,8,1,1,0,0
11450,Camden,New South Wales,112451,141258,146483,5225,3.6989055487122857,34032,30.263848253906144,0,12179,10659,22838,16.167579889280606,16389,6449,39.34956373177131,11222,49.13740257465628,8060,3162,39.23076923076923,Camden,1045,9,1050,9,1098,10,1002,8,1,1,0,0
11500,Campbelltown (NSW),New South Wales,175725,188545,191285,2740,1.4532339759739055,15560,8.854744629392517,0,14192,13298,27490,14.580073722453527,24622,2868,11.648119567866136,13402,48.752273554019645,12001,1401,11.674027164402967,Campbelltown (NSW),947,3,952,5,981,5,949,6,1,1,0,0
11520,Canada Bay,New South Wales,91833,92357,93006,649,0.7027079701592732,1173,1.2773186109568455,0,4293,4640,8933,9.67225007308596,9655,-722,-7.477990678404972,4447,49.78170827269674,4793,-346,-7.218860838723137,Canada Bay,1067,10,1116,10,1021,9,1123,10,1,1,0,0
11570,Canterbury-Bankstown,New South Wales,376638,385655,389687,4032,1.0454940296378887,13049,3.464599960704974,0,24306,24096,48402,12.550595739715547,49567,-1165,-2.350354066213408,23404,48.35337382752779,23872,-468,-1.9604557640750668,Canterbury-Bankstown,917,2,966,7,949,3,996,8,1,1,0,0
11600,Carrathool,New South Wales,2892,2772,2803,31,1.1183261183261184,-89,-3.0774550484094054,0,197,171,368,13.275613275613276,369,-1,-0.27100271002710025,197,53.53260869565217,175,22,12.571428571428573,Carrathool,973,5,953,6,980,5,941,5,1,1,0,0
11650,Central Coast (NSW),New South Wales,347734,355354,357816,2462,0.6928302481469183,10082,2.8993426009536023,0,21150,21746,42896,12.071342942530547,43411,-515,-1.1863352606482227,20679,48.20729205520328,21062,-383,-1.8184407938467384,Central Coast (NSW),994,7,978,7,1005,8,967,7,1,1,0,0
11700,Central Darling,New South Wales,1774,1776,1773,-3,-0.16891891891891891,-1,-0.05636978579481398,0,91,133,224,12.612612612612612,218,6,2.7522935779816518,99,44.19642857142857,104,-5,-4.807692307692308,Central Darling,827,1,869,1,853,1,929,5,1,1,0,0
11720,Cessnock,New South Wales,62431,69432,71443,2011,2.8963590275377347,9012,14.435136390575195,0,4732,4440,9172,13.210047240465492,8286,886,10.692734733285059,4386,47.81945050152638,4034,352,8.72583044124938,Cessnock,939,3,908,3,984,6,876,1,1,1,0,0
11730,Clarence Valley,New South Wales,52893,56216,56874,658,1.1704852710971965,3981,7.526515796041064,0,3008,3259,6267,11.148071723352782,6148,119,1.9355888093689007,3039,48.492101483963616,2953,86,2.9122925838130715,Clarence Valley,940,3,910,3,963,4,901,3,1,1,0,0
11750,Cobar,New South Wales,4213,4015,4019,4,0.099626400996264,-194,-4.604794683123665,0,268,290,558,13.897882938978828,581,-23,-3.9586919104991396,283,50.7168458781362,302,-19,-6.291390728476822,Cobar,965,5,937,4,977,5,904,3,1,1,0,0
11800,Coffs Harbour,New South Wales,78409,81529,82109,580,0.711403304345693,3700,4.718846050836001,0,4761,5421,10182,12.488807663530768,9954,228,2.2905364677516573,4994,49.04733844038499,4894,100,2.043318348998774,Coffs Harbour,972,5,954,6,982,6,953,6,1,1,0,0
12000,Coolamon,New South Wales,4404,4636,4742,106,2.286453839516825,338,7.674841053587647,0,304,348,652,14.063848144952546,616,36,5.844155844155844,322,49.38650306748466,292,30,10.273972602739725,Coolamon,983,6,951,5,1006,8,941,5,1,1,0,0
12150,Coonamble,New South Wales,3871,3878,3889,11,0.28365136668385765,18,0.4649961250322914,0,303,253,556,14.337287261474987,528,28,5.303030303030303,247,44.42446043165468,243,4,1.646090534979424,Coonamble,883,1,893,2,922,2,919,4,1,1,0,0
12160,Cootamundra-Gundagai,New South Wales,11393,11452,11429,-23,-0.2008382815228781,36,0.3159834986395155,0,636,684,1320,11.526370939573875,1429,-109,-7.6277116864940515,596,45.151515151515156,678,-82,-12.094395280235988,Cootamundra-Gundagai Regional,953,4,926,3,965,4,918,4,1,1,0,0
12350,Cowra,New South Wales,12748,12718,12721,3,0.023588614562038056,-27,-0.21179792908691558,0,717,769,1486,11.684227079729517,1535,-49,-3.1921824104234524,747,50.26917900403769,760,-13,-1.710526315789474,Cowra,932,3,908,2,950,3,908,3,1,1,0,0
12380,Cumberland,New South Wales,240841,252839,256906,4067,1.6085334936461544,16065,6.670375891148102,0,15751,14892,30643,12.119570161248857,30734,-91,-0.29608902193011,14861,48.4972098032177,14987,-126,-0.8407286314806165,Cumberland,904,2,961,6,931,2,995,8,1,1,0,0
12390,Dubbo,New South Wales,55010,57049,57384,335,0.5872144998159478,2374,4.315578985638975,0,3964,3904,7868,13.791652789707094,7616,252,3.308823529411765,3860,49.05948144382308,3652,208,5.695509309967141,Dubbo Regional,985,6,958,6,988,6,944,6,1,1,0,0
12700,Dungog,New South Wales,9450,9911,10102,191,1.9271516496821715,652,6.8994708994708995,0,624,675,1299,13.106649177681366,1216,83,6.825657894736842,610,46.95919938414165,577,33,5.719237435008666,Dungog,1009,8,974,7,1040,9,945,6,1,1,0,0
12730,Edward River,New South Wales,8547,8492,8501,9,0.10598210080075365,-46,-0.5382005382005381,0,432,531,963,11.34008478568064,1061,-98,-9.236569274269558,418,43.40602284527518,499,-81,-16.23246492985972,Edward River,966,5,939,4,971,4,935,5,1,1,0,0
12750,Eurobodalla,New South Wales,39917,41123,41309,186,0.45230163169029497,1392,3.487236014730566,0,1889,2089,3978,9.673418768085986,4039,-61,-1.5102748205001237,1896,47.66214177978884,1974,-78,-3.951367781155015,Eurobodalla,985,6,946,5,983,6,941,5,1,1,0,0
12850,Fairfield,New South Wales,212148,212482,213677,1195,0.5624005798138195,1529,0.7207232686615005,0,11622,13477,25099,11.81229468849126,27962,-2863,-10.238895644088405,12158,48.44017689947807,13521,-1363,-10.080615339102138,Fairfield,814,1,885,2,937,2,919,4,1,1,0,0
12870,Federation,New South Wales,12726,13160,13247,87,0.6610942249240122,521,4.093980826654095,0,623,764,1387,10.53951367781155,1477,-90,-6.093432633716994,677,48.810382119682764,723,-46,-6.36237897648686,Federation,969,5,925,3,976,5,897,2,1,1,0,0
12900,Forbes,New South Wales,9502,9322,9301,-21,-0.22527354644925981,-201,-2.1153441380761944,0,601,683,1284,13.773868268611885,1343,-59,-4.393149664929263,650,50.62305295950156,658,-8,-1.21580547112462,Forbes,969,5,941,5,977,5,938,5,1,1,0,0
12930,Georges River,New South Wales,155919,161742,163919,2177,1.3459707435298192,8000,5.130869233384001,0,7666,8474,16140,9.97885521385911,17098,-958,-5.602994502280969,7838,48.56257744733581,8293,-455,-5.486554925841071,Georges River,1011,8,1048,9,999,7,1060,9,1,1,0,0
12950,Gilgandra,New South Wales,4327,4305,4304,-1,-0.023228803716608595,-23,-0.5315461058470071,0,219,315,534,12.40418118466899,590,-56,-9.491525423728813,260,48.68913857677903,293,-33,-11.262798634812286,Gilgandra,930,3,913,3,955,3,923,4,1,1,0,0
13010,Glen Innes Severn,New South Wales,8946,9005,9069,64,0.7107162687395892,123,1.374916163648558,0,436,489,925,10.272071071626874,1033,-108,-10.454985479186835,461,49.83783783783784,500,-39,-7.8,Glen Innes Severn,906,2,891,2,929,2,907,3,1,1,0,0
13310,Goulburn Mulwaree,New South Wales,31934,33305,33746,441,1.3241255066806785,1812,5.6742030437777915,0,1904,2036,3940,11.830055547215133,3975,-35,-0.8805031446540881,1897,48.14720812182741,1885,12,0.636604774535809,Goulburn Mulwaree,972,5,945,5,985,6,926,4,1,1,0,0
13340,Greater Hume,New South Wales,10931,11660,11742,82,0.7032590051457976,811,7.419266306833776,0,764,853,1617,13.867924528301886,1631,-14,-0.8583690987124464,777,48.05194805194805,776,1,0.12886597938144329,Greater Hume Shire,999,7,964,6,1018,9,956,6,1,1,0,0
13450,Griffith,New South Wales,27249,27432,27458,26,0.094779819189268,209,0.7670006238761056,0,1650,1737,3387,12.34689413823272,3615,-228,-6.3070539419087135,1667,49.21759669323885,1764,-97,-5.498866213151928,Griffith,974,5,950,5,985,6,920,4,1,1,0,0
13550,Gunnedah,New South Wales,13024,13414,13502,88,0.6560310123751305,478,3.6701474201474205,0,1020,1021,2041,15.215446548382285,1899,142,7.477619799894682,961,47.084762371386574,934,27,2.890792291220557,Gunnedah,967,5,940,4,989,6,909,3,1,1,0,0
13660,Gwydir,New South Wales,5019,4919,4968,49,0.9961374263061598,-51,-1.0161386730424387,0,288,359,647,13.153079894287456,667,-20,-2.998500749625187,287,44.35857805255023,316,-29,-9.177215189873419,Gwydir,957,4,936,4,978,5,947,6,1,1,0,0
13800,Hawkesbury,New South Wales,67578,68639,69299,660,0.96155247017002,1721,2.546686791559383,0,4262,4358,8620,12.55845801949329,8956,-336,-3.7516748548459136,4140,48.027842227378194,4330,-190,-4.387990762124711,Hawkesbury,1026,8,1008,9,1056,10,969,7,1,1,0,0
13850,Hay,New South Wales,2910,2867,2899,32,1.1161492849668644,-11,-0.37800687285223367,0,153,140,293,10.219741890477852,323,-30,-9.287925696594428,156,53.242320819112635,159,-3,-1.8867924528301887,Hay,956,4,926,3,950,3,903,3,1,1,0,0
13910,Hilltops,New South Wales,19205,19393,19347,-46,-0.2371989893260455,142,0.7393907836500911,0,1186,1377,2563,13.216108905275098,2596,-33,-1.2711864406779663,1231,48.02965275068279,1275,-44,-3.4509803921568625,Hilltops,954,4,929,4,974,5,927,4,1,1,0,0
14000,Hornsby,New South Wales,154037,154866,155484,618,0.3990546666150091,1447,0.9393846932879762,0,9806,11317,21123,13.639533532214948,21154,-31,-0.1465443887680817,10108,47.85305117644274,10222,-114,-1.1152416356877324,Hornsby,1082,10,1116,10,1082,10,1121,10,1,1,0,0
14100,Hunters Hill,New South Wales,14269,14047,13983,-64,-0.4556132982131416,-286,-2.004345083747985,0,728,1021,1749,12.45105716523101,1953,-204,-10.44546850998464,799,45.683247570040024,898,-99,-11.024498886414253,Hunters Hill,1101,10,1156,10,1088,10,1163,10,1,1,0,0
14170,Inner West,New South Wales,190035,191173,193125,1952,1.0210646900974512,3090,1.6260162601626018,0,8101,8480,16581,8.673295915218153,18544,-1963,-10.585634167385678,8138,49.080272601170016,9100,-962,-10.571428571428571,Inner West,1057,10,1118,10,993,7,1141,10,1,1,0,0
14220,Inverell,New South Wales,17985,18130,18152,22,0.12134583563154992,167,0.9285515707534057,0,1108,1280,2388,13.1715388858246,2462,-74,-3.0056864337936635,1192,49.916247906197654,1197,-5,-0.4177109440267335,Inverell,928,2,906,2,950,3,899,2,1,1,0,0
14300,Junee,New South Wales,6463,6456,6403,-53,-0.8209417596034696,-60,-0.9283614420547733,0,347,348,695,10.765179677819082,742,-47,-6.334231805929918,351,50.50359712230216,368,-17,-4.619565217391304,Junee,934,3,918,3,977,5,904,3,1,1,0,0
14350,Kempsey,New South Wales,30602,31818,31950,132,0.4148595134829342,1348,4.404940853538984,0,1726,1872,3598,11.3080646175121,3633,-35,-0.9633911368015413,1768,49.13841022790439,1827,-59,-3.2293377120963327,Kempsey,903,2,881,2,943,3,882,2,1,1,0,0
14400,Kiama,New South Wales,22873,23159,23139,-20,-0.08635951465952761,266,1.1629432081493463,0,1287,1321,2608,11.261280711602401,2663,-55,-2.0653398422831395,1215,46.58742331288344,1284,-69,-5.373831775700935,Kiama,1070,10,1061,9,1062,10,1058,9,1,1,0,0
14500,Ku-ring-gai,New South Wales,126438,128429,128542,113,0.08798635822127401,2104,1.6640566918173334,0,8276,10443,18719,14.575368491540072,18898,-179,-0.9471901788549052,9095,48.586997168652175,9116,-21,-0.23036419482229045,Ku-ring-gai,1108,10,1165,10,1117,10,1174,10,1,1,0,0
14550,Kyogle,New South Wales,9304,9633,9707,74,0.7681926710266791,403,4.331470335339639,0,483,608,1091,11.325651406623066,1116,-25,-2.240143369175627,537,49.220898258478464,567,-30,-5.291005291005291,Kyogle,921,2,906,2,950,3,929,4,1,1,0,0
14600,Lachlan,New South Wales,6223,6118,6118,0,0.0,-105,-1.687289088863892,0,400,480,880,14.383785550833606,938,-58,-6.183368869936034,438,49.77272727272727,449,-11,-2.4498886414253898,Lachlan,950,3,936,4,957,3,944,6,1,1,0,0
