LGA_CODE,LGA_NAME,STATE,TOTAL_POP_2020,TOTAL_POP_2024,TOTAL_POP_2025,POP_CHANGE_1Y,POP_GROWTH_1Y_PCT,POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,IS_UNINCORPORATED
14550,Kyogle,New South Wales,9304,9633,9707,74,0.7681926710266791,403,4.331470335339639,0
14600,Lachlan,New South Wales,6223,6118,6118,0,0.0,-105,-1.687289088863892,0
14650,Lake Macquarie,New South Wales,211954,222144,224540,2396,1.0785796600403341,12586,5.93808090434717,0
14700,Lane Cove,New South Wales,40067,42594,43094,500,1.1738742545898482,3027,7.554845633563781,0
14750,Leeton,New South Wales,11500,11502,11475,-27,-0.2347417840375587,-25,-0.21739130434782608,0
14850,Lismore,New South Wales,44316,43750,43642,-108,-0.24685714285714286,-674,-1.5208953876703675,0
14870,Lithgow,New South Wales,21063,20787,20693,-94,-0.45220570548900757,-370,-1.7566348573327637,0
14900,Liverpool,New South Wales,231268,255367,261231,5864,2.296302967885435,29963,12.955964508708512,0
14920,Liverpool Plains,New South Wales,7702,7679,7671,-8,-0.10418023180101575,-31,-0.40249285899766296,0
14950,Lockhart,New South Wales,3308,3488,3509,21,0.6020642201834863,201,6.076178960096735,0
15050,Maitland,New South Wales,87920,98232,100439,2207,2.2467220457691996,12519,14.239080982711554,0
15240,Mid-Coast,New South Wales,95731,98750,99448,698,0.7068354430379747,3717,3.88275480251956,0
15270,Mid-Western,New South Wales,25589,26301,26472,171,0.6501653929508384,883,3.450701473289304,0
15300,Moree Plains,New South Wales,13047,12879,12845,-34,-0.26399565183632273,-202,-1.5482486395339925,0
15350,Mosman,New South Wales,29543,29284,29374,90,0.3073350635159131,-169,-0.5720475239481434,0
15520,Murray River,New South Wales,12572,13675,14030,355,2.5959780621572213,1458,11.597200127266943,0
15560,Murrumbidgee,New South Wales,3625,3687,3695,8,0.21697857336588014,70,1.9310344827586208,0
15650,Muswellbrook,New South Wales,16539,16850,16859,9,0.05341246290801187,320,1.9348207267670354,0
15700,Nambucca Valley,New South Wales,20290,21050,21237,187,0.8883610451306413,947,4.667323804829966,0
15750,Narrabri,New South Wales,12990,12842,12797,-45,-0.3504127083008877,-193,-1.4857582755966128,0
15800,Narrandera,New South Wales,5787,5740,5761,21,0.3658536585365854,-26,-0.4492828754104027,0
15850,Narromine,New South Wales,6521,6430,6420,-10,-0.15552099533437014,-101,-1.5488422021162398,0
15900,Newcastle,New South Wales,168242,176988,178935,1947,1.1000745813275477,10693,6.355725680864468,0
15950,North Sydney,New South Wales,71430,73090,73705,615,0.8414283759748256,2275,3.1849363012739746,0
15990,Northern Beaches,New South Wales,268164,271240,272656,1416,0.5220468957380917,4492,1.6750943452514135,0
16100,Oberon,New South Wales,5540,5589,5595,6,0.10735373054213634,55,0.9927797833935018,0
16150,Orange,New South Wales,43383,44728,44990,262,0.5857628331246647,1607,3.704215937118226,0
16200,Parkes,New South Wales,14646,14234,14175,-59,-0.4145004917802445,-471,-3.2158951249487915,0
16260,Parramatta,New South Wales,260413,275406,279014,3608,1.310065866393615,18601,7.142884571814771,0
16350,Penrith,New South Wales,216922,228938,231701,2763,1.2068769710576663,14779,6.813048008039756,0
16380,Port Macquarie-Hastings,New South Wales,85499,91064,92432,1368,1.5022401827286305,6933,8.108866770371584,0
16400,Port Stephens,New South Wales,74450,79048,80070,1022,1.292885335492359,5620,7.5486903962390866,0
16490,Queanbeyan-Palerang,New South Wales,62506,66609,67633,1024,1.5373297902685823,5127,8.202412568393434,0
16550,Randwick,New South Wales,142499,144732,146484,1752,1.2105132244424177,3985,2.7965108527077382,0
16610,Richmond Valley,New South Wales,23593,23968,24044,76,0.31708945260347127,451,1.9115839443902851,0
16700,Ryde,New South Wales,130999,139226,141693,2467,1.7719391492968268,10694,8.163421094817517,0
16900,Shellharbour,New South Wales,74941,81669,83228,1559,1.9089250511209885,8287,11.058032318757423,0
16950,Shoalhaven,New South Wales,107246,110981,111755,774,0.6974166749263387,4509,4.2043526098875486,0
17000,Singleton,New South Wales,24503,25678,25841,163,0.6347846405483294,1338,5.460555850304044,0
17040,Snowy Monaro,New South Wales,21437,22305,22396,91,0.4079802734812822,959,4.473573727667118,0
17080,Snowy Valleys,New South Wales,14889,15049,15058,9,0.059804638181939,169,1.135066156222715,0
17100,Strathfield,New South Wales,46417,48537,49203,666,1.3721490821435194,2786,6.002111295430553,0
17150,Sutherland,New South Wales,230379,238812,241327,2515,1.0531296584761236,10948,4.752169251537683,0
17200,Sydney,New South Wales,227250,237557,241797,4240,1.7848347975433265,14547,6.401320132013201,0
17310,Tamworth,New South Wales,63405,66055,66403,348,0.5268336991900688,2998,4.728333727624005,0
17350,Temora,New South Wales,6077,6060,6050,-10,-0.16501650165016502,-27,-0.4442981734408425,0
17400,Tenterfield,New South Wales,6779,7120,7188,68,0.9550561797752809,409,6.033338250479422,0
17420,The Hills,New South Wales,186622,215823,222675,6852,3.1748238139586604,36053,19.318729838925744,0
17550,Tweed,New South Wales,96857,100328,101044,716,0.713659197831114,4187,4.322867732843264,0
17620,Upper Hunter,New South Wales,14296,14423,14425,2,0.013866740622616653,129,0.9023503077783995,0
17640,Upper Lachlan,New South Wales,8378,8915,9005,90,1.0095344924284912,627,7.483886369061829,0
17650,Uralla,New South Wales,6056,6118,6179,61,0.9970578620464203,123,2.031043593130779,0
17750,Wagga Wagga,New South Wales,67277,69106,69108,2,0.0028941047087083613,1831,2.7215838994009838,0
17850,Walcha,New South Wales,3057,2997,2989,-8,-0.26693360026693363,-68,-2.2244030094864247,0
17900,Walgett,New South Wales,5701,5517,5437,-80,-1.4500634402755121,-264,-4.6307665321873355,0
17950,Warren,New South Wales,2634,2589,2606,17,0.656624179219776,-28,-1.0630220197418374,0
18020,Warrumbungle,New South Wales,9358,9275,9246,-29,-0.31266846361185985,-112,-1.1968369309681557,0
18050,Waverley,New South Wales,71880,72941,73345,404,0.5538723077555833,1465,2.038119087367835,0
18100,Weddin,New South Wales,3619,3600,3558,-42,-1.1666666666666667,-61,-1.6855484940591323,0
18200,Wentworth,New South Wales,7389,7902,7982,80,1.0124019235636548,593,8.025443226417647,0
18250,Willoughby,New South Wales,78566,79711,80520,809,1.0149163854424108,1954,2.4870809255912225,0
18350,Wingecarribee,New South Wales,52018,53510,53840,330,0.6167071575406466,1822,3.502633703717944,0
18400,Wollondilly,New South Wales,53618,59759,62080,2321,3.883933800766412,8462,15.782013502928121,0
18450,Wollongong,New South Wales,215063,222204,224327,2123,0.9554283451243002,9264,4.307574989654194,0
18500,Woollahra,New South Wales,55951,55202,55218,16,0.02898445708488823,-733,-1.3100748869546568,0
18710,Yass Valley,New South Wales,17092,17555,17663,108,0.6152093420677869,571,3.3407442078165226,0
