RANK_BALANCED,LGA_CODE,LGA_NAME,STATE,SCORE_BALANCED,SCORE_MARKET_SIZE,SCORE_YOUTH_INTENSITY,SCORE_GROWTH_MOMENTUM,SCORE_GROWTH_ABSOLUTE,SCORE_GROWTH_RATE,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,TOTAL_POP_2025,RANK_GROWTH_LED,RANK_SCALE_LED,RANK_INTENSITY_LED,SCORE_GROWTH_LED,SCORE_SCALE_LED,SCORE_INTENSITY_LED,TOP20_SCENARIO_APPEARANCES,ROBUSTNESS_LABEL
1,27260,Wyndham,Victoria,99.26940639269407,98.08219178082192,100.0,99.72602739726028,100.0,99.45205479452055,56395.0,16.818263151616367,13313.0,30.901536604614456,347830.0,1,1,1,99.36986301369865,98.94520547945206,99.35616438356165,4,Robust Top-20
2,24650,Melton,Victoria,98.21917808219177,96.16438356164385,98.9041095890411,99.58904109589042,99.45205479452055,99.72602739726028,35427.0,16.18454594461246,8438.0,31.264589277112897,231567.0,2,3,2,98.59589041095893,97.77397260273973,98.25342465753425,4,Robust Top-20
3,10750,Blacktown,New South Wales,97.21461187214612,99.17808219178083,94.24657534246576,98.21917808219179,99.72602739726028,96.7123287671233,66024.0,15.02074839836925,9571.0,16.953926274954387,449385.0,3,2,3,97.66438356164385,98.10273972602741,96.71917808219177,4,Robust Top-20
4,33960,Ipswich,Queensland,96.57534246575342,96.7123287671233,96.98630136986301,96.02739726027397,97.53424657534246,94.52054794520548,39679.0,15.31215510122176,4829.0,13.856527977044477,268272.0,6,6,4,96.39041095890411,96.51369863013699,96.66438356164385,4,Robust Top-20
5,11450,Camden,New South Wales,96.39269406392694,91.23287671232877,98.63013698630137,99.31506849315068,98.63013698630137,100.0,22838.0,16.167579889280606,6449.0,39.34956373177131,146483.0,4,9,5,97.15753424657534,95.17123287671232,96.58219178082192,4,Robust Top-20
6,21610,Casey,Victoria,96.39269406392694,98.9041095890411,92.87671232876711,97.3972602739726,99.17808219178083,95.61643835616438,60353.0,14.931174049004472,7925.0,15.115968566414892,414929.0,5,4,6,96.86986301369863,97.47260273972603,95.81506849315069,4,Robust Top-20
7,34590,Logan,Queensland,95.89041095890411,98.63013698630137,92.6027397260274,96.43835616438356,98.9041095890411,93.97260273972603,58211.0,14.86620390943034,6746.0,13.107937433207034,403515.0,8,5,7,96.21917808219177,96.95890410958904,95.36986301369862,4,Robust Top-20
8,23270,Hume,Victoria,95.57077625570776,96.98630136986301,92.05479452054794,97.67123287671232,98.35616438356163,96.98630136986301,40078.0,14.801874702230364,5973.0,17.513561061427943,278885.0,7,7,9,96.37671232876713,96.48630136986301,94.93835616438356,4,Robust Top-20
9,17420,The Hills,New South Wales,95.4794520547945,94.79452054794521,93.97260273972603,97.67123287671232,97.80821917808218,97.53424657534246,32413.0,15.018325201669889,4994.0,18.213647470731974,222675.0,9,8,8,96.2123287671233,95.67808219178082,95.14383561643837,4,Robust Top-20
10,50210,Armadale,Western Australia,93.65296803652967,84.93150684931507,98.08219178082192,97.94520547945206,96.7123287671233,99.17808219178083,17292.0,15.773774230330673,3696.0,27.184466019417474,113003.0,10,15,10,94.71917808219179,91.45890410958904,94.10273972602741,4,Robust Top-20
