growth_corridor,lga_count,mean_market_score,mean_youth_intensity,mean_growth_momentum,mean_opportunity_score
Melbourne outer growth belt,6,95.57077625570776,93.42465753424658,97.62557077625571,95.54033485540334
Western / south-west Sydney,5,94.95890410958904,93.69863013698631,96.35616438356165,95.00456621004565
Perth growth belt,3,90.8675799086758,91.14155251141551,95.4337899543379,92.48097412480973
South East Queensland,4,98.21917808219179,71.3013698630137,92.60273972602741,87.3744292237443
ACT,1,98.35616438356163,49.589041095890416,88.49315068493149,78.81278538812785
Greater Geelong,1,95.34246575342465,46.02739726027397,90.68493150684932,77.35159817351598
